text,target
<tag>tsunami</tag> <location></location> All of this energy,0
<tag>burned</tag> <location>Massachusetts</location> @HGF52611 Uh huh. You only have to be burned once to know fire hurts. Robbie Ross should throw home run derby in the All Star Game #RedSox,0
<tag>crushed</tag> <location>Guayaquil</location> I crushed a 3.1 km run with a pace of 5'41' with Nike+ SportWatch GPS. #nikeplus: http://t.co/A3dSmbqkwu,0
"<tag>inundated</tag> <location>San Jose, CA, USA</location> This is set to become a huge one month wonder. (And then Pornhub will be inundated....) http://t.co/gghfx8PzMh",1
"<tag>dust%20storm</tag> <location>Marrakech MÌ©dina, Marrakech - Tensift - Al Haouz</location> There's a big storm brewing dark clouds thunder and rain carrying thick dust. This could be interesting.",1
<tag>devastated</tag> <location>Chester </location> @MikeParrActor devastated!! ????,0
<tag>violent%20storm</tag> <location></location> '@NASASolarSystem: Jupiter's Great Red Spot is a violent storm larger than the entire Earth. http://t.co/2lBTshXI3c http://t.co/0jmKdTcYmJ',0
"<tag>ambulance</tag> <location>North Carolina, USA</location> EMS1: NY EMTs petition for $17 per hour Û÷minimum wageÛª http://t.co/4oa6SWlxmR #ems #paramedics #ambulance",0
<tag>crash</tag> <location></location> I see dat we liable to fuck up and crash ????,0
<tag>body%20bag</tag> <location></location> One day this heart gone get me zipped up in a body bag.,0
<tag>devastation</tag> <location>St Joseph de Beauce</location> In this fragile global economy considering the devastation the alternatives would cause ... it's the best reason .. https://t.co/zwVyisyP2B,1
<tag>danger</tag> <location></location> The Danger and Excitement of Underwater Cave Diving http://t.co/8c3fPloxcr http://t.co/cBGZ9xuN2k,0
<tag>destroy</tag> <location></location> Get å£150 free bets when you register at Boylesports Casino #Luck #Destroy http://t.co/zildpvKNXP http://t.co/5yDb4s13pF,0
<tag>bomb</tag> <location>[Gia.] | #KardashianEmpire</location> @CaraJDeIevingnc the bomb impact ratio hit beyond kyle js,0
<tag>attack</tag> <location></location> Nashville Theater Attack: Will Gun Grabbers Now Demand ÛÏHatchet Control?Û  http://t.co/OyoGII97yH,1